scenario,scenario_desc,rep,method,RMSE_overall,RMSE_global,RMSE_local,Prec_global,Rec_global,F1_global,runtime_sec
A,"A (downward global, mild locals)",7,HP-mean,0.0788063464262815,0.0019006090415899484,0.07122611586282614,0.11764705882352941,1.0,0.21052631578947367,
B,"B (flat global, hetero locals)",0,GLASS-E,0.01554984750252391,0.00455104976442504,0.021139773418171262,0.0,0.0,0.0,0.12815475463867188
B,"B (flat global, hetero locals)",0,ITF,0.015685988976974288,0.004874960997163239,0.02135991480982807,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",0,Theil-Sen,0.030444446740387092,0.0047317760203806035,0.01600365687136994,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",0,LLT,0.03659086181841603,0.00575113588152272,0.028952212580731534,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",0,HP-mean,0.06321871202468918,0.003522921372194398,0.05665042007327236,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",1,GLASS-E,0.009985727478006245,0.005215352398278382,0.02775561939109481,0.0,0.0,0.0,0.2673676013946533
B,"B (flat global, hetero locals)",1,ITF,0.010028387928044658,0.005062029293701099,0.02787763964592273,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",1,Theil-Sen,0.03226130852471224,0.0033155356047052946,0.016046971855461917,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",1,LLT,0.03944931203088425,0.007025164344777845,0.0344369646765652,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",1,HP-mean,0.053424050762809074,0.003069571894744982,0.04525410796734762,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",2,GLASS-E,0.014874340334677955,0.003101974704695413,0.021837610386960374,0.0,0.0,0.0,0.11611580848693848
B,"B (flat global, hetero locals)",2,ITF,0.014962586220640466,0.003929287017193007,0.02194163016913135,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",2,Theil-Sen,0.029752456053391486,0.002000647311286798,0.01779276463430453,0.0,0.0,0.0,
B,"B (flat global, hetero locals)",2,LLT,0.03304503533016409,0.004503024356232363,0.029789160703719304,0.0,0.0,0.0,
